name,Empty,HalfFull,Full,Overloaded
0,0,1,0,0
1,0,0,1,0
2,0,0,1,0
3,0,0,0,1
4,0,0,0,1
5,0,1,0,0
6,0,1,0,0
7,0,0,0,1
8,0,0,1,0
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,1,0
14,0,0,1,0
15,0,0,1,0
16,0,0,1,0
17,0,0,1,0
18,0,0,0,1
19,0,1,0,0
20,0,0,0,1
21,0,0,1,0
22,0,1,0,0
23,0,0,0,1
24,0,1,0,0
25,0,0,1,0
26,0,0,0,1
27,0,0,1,0
28,0,0,0,1
29,0,0,0,1
30,0,0,0,1
31,0,0,1,0
32,0,0,0,1
33,0,0,0,1
34,0,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,1,0,0
38,0,0,1,0
39,0,1,0,0
40,0,1,0,0
41,0,0,0,1
42,0,0,0,1
43,0,1,0,0
44,0,1,0,0
45,0,0,0,1
46,0,0,0,1
47,0,0,1,0
48,0,0,0,1
49,0,1,0,0
50,0,1,0,0
51,0,0,1,0
52,0,0,0,1
53,0,0,0,1
54,0,0,0,1
55,0,0,0,1
56,0,0,1,0
57,0,0,0,1
58,0,0,0,1
59,0,0,0,1
60,0,1,0,0
61,0,0,1,0
62,0,0,0,1
63,0,1,0,0
64,0,1,0,0
65,0,0,1,0
66,0,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,1,0,0
70,0,1,0,0
71,0,0,0,1
72,0,1,0,0
73,0,0,0,1
74,0,0,0,1
75,0,1,0,0
76,0,1,0,0
77,0,0,0,1
78,0,1,0,0
79,0,0,1,0
80,0,0,1,0
81,0,1,0,0
82,0,0,1,0
83,0,0,0,1
84,0,0,1,0
85,0,0,0,1
86,0,0,0,1
87,0,0,0,1
88,0,0,0,1
89,0,0,0,1
90,0,0,0,1
91,0,1,0,0
92,0,0,0,1
93,0,1,0,0
94,0,0,0,1
95,0,0,1,0
96,0,0,0,1
97,0,1,0,0
98,0,1,0,0
99,0,0,0,1
100,0,1,0,0
101,0,0,1,0
102,0,1,0,0
103,0,0,0,1
104,0,0,0,1
105,0,0,1,0
106,0,0,0,1
107,0,0,0,1
108,0,0,0,1
109,0,1,0,0
110,0,0,0,1
111,0,0,0,1
112,0,1,0,0
113,0,1,0,0
114,0,0,0,1
115,0,0,0,1
116,0,0,0,1
117,0,0,0,1
118,0,0,0,1
119,0,0,0,1
120,0,0,0,1
121,0,0,1,0
122,0,1,0,0
123,0,1,0,0
124,0,0,0,1
125,0,0,0,1
126,0,1,0,0
127,0,1,0,0
128,0,0,0,1
129,0,1,0,0
130,0,0,0,1
131,0,0,0,1
132,0,0,1,0
133,0,1,0,0
134,0,0,1,0
135,0,0,0,1
136,0,1,0,0
137,0,0,1,0
138,0,0,0,1
139,0,0,1,0
140,0,0,0,1
141,0,0,0,1
142,0,1,0,0
143,0,0,0,1
144,0,1,0,0
145,0,0,1,0
146,0,1,0,0
147,0,0,0,1
148,0,0,0,1
149,0,0,0,1
150,0,0,0,1
151,0,1,0,0
152,0,0,0,1
153,0,1,0,0
154,0,0,0,1
155,0,0,0,1
156,0,0,0,1
157,0,0,0,1
158,0,1,0,0
159,0,0,1,0
160,0,0,0,1
161,0,0,0,1
162,0,1,0,0
163,0,1,0,0
164,0,0,0,1
165,0,0,0,1
166,0,0,0,1
167,0,1,0,0
168,0,0,0,1
169,0,0,0,1
170,0,0,0,1
171,0,0,0,1
172,0,0,0,1
173,0,0,0,1
174,0,0,0,1
175,0,1,0,0
176,0,0,1,0
177,0,1,0,0
178,0,1,0,0
179,0,0,0,1
180,0,0,0,1
181,0,1,0,0
182,0,0,0,1
183,0,1,0,0
184,0,0,0,1
185,0,0,0,1
186,0,0,0,1
187,0,0,0,1
188,0,0,0,1
189,0,0,0,1
190,0,0,1,0
191,0,1,0,0
192,0,1,0,0
193,0,0,1,0
194,0,0,0,1
195,0,1,0,0
196,0,0,0,1
197,0,0,0,1
198,0,0,0,1
199,0,1,0,0
200,0,0,0,1
201,0,0,0,1
202,0,0,0,1
203,0,1,0,0
204,0,1,0,0
205,0,0,0,1
206,0,0,0,1
207,0,0,0,1
208,0,1,0,0
209,0,0,1,0
210,0,0,0,1
211,0,1,0,0
212,0,1,0,0
213,0,0,0,1
214,0,0,0,1
215,0,0,0,1
216,0,1,0,0
217,0,0,0,1
218,0,0,0,1
219,0,1,0,0
220,0,0,0,1
221,0,1,0,0
222,0,0,0,1
223,0,0,0,1
224,0,1,0,0
225,0,1,0,0
226,0,0,0,1
227,0,0,0,1
228,0,1,0,0
229,0,0,0,1
230,0,0,0,1
231,0,1,0,0
232,0,1,0,0
233,0,0,0,1
234,0,1,0,0
235,0,0,0,1
236,0,1,0,0
237,0,0,0,1
238,0,0,0,1
239,0,0,0,1
240,0,1,0,0
241,0,1,0,0
242,0,0,0,1
243,0,1,0,0
244,0,0,0,1
245,0,0,1,0
246,0,0,0,1
247,0,1,0,0
248,0,0,0,1
249,0,1,0,0
250,0,0,0,1
251,0,0,0,1
252,0,0,0,1
253,0,1,0,0
254,0,0,1,0
255,0,1,0,0
256,0,0,1,0
257,0,0,1,0
258,0,0,0,1
259,0,0,0,1
260,0,1,0,0
261,0,0,1,0
262,0,0,0,1
263,0,0,0,1
264,0,0,0,1
265,0,0,1,0
266,0,0,0,1
267,0,0,1,0
268,0,0,0,1
269,0,0,1,0
270,0,0,0,1
271,0,0,0,1
272,0,0,1,0
273,0,0,0,1
274,0,0,0,1
275,0,1,0,0
276,0,1,0,0
277,0,0,1,0
278,0,0,1,0
279,0,0,0,1
280,0,0,0,1
281,0,1,0,0
282,0,1,0,0
283,0,1,0,0
284,0,1,0,0
285,0,0,0,1
286,0,1,0,0
287,0,0,0,1
288,0,1,0,0
289,0,1,0,0
290,0,0,1,0
291,0,0,1,0
292,0,1,0,0
293,0,1,0,0
294,0,1,0,0
295,0,0,0,1
296,0,0,0,1
297,0,0,0,1
298,0,1,0,0
299,0,0,0,1
300,0,0,1,0
301,0,1,0,0
302,0,0,0,1
303,0,0,0,1
304,0,0,0,1
305,0,0,1,0
306,0,0,1,0
307,0,1,0,0
308,0,1,0,0
309,0,0,0,1
310,0,1,0,0
311,0,0,1,0
312,0,0,0,1
313,0,0,1,0
314,0,0,1,0
315,0,1,0,0
316,0,0,1,0
317,0,0,0,1
318,0,0,0,1
319,0,0,0,1
320,0,0,0,1
321,0,0,0,1
322,0,1,0,0
323,0,0,0,1
324,0,1,0,0
325,0,0,0,1
326,0,0,0,1
327,0,0,0,1
328,0,1,0,0
329,0,0,0,1
330,0,0,0,1
331,0,0,1,0
332,0,0,0,1
333,0,0,1,0
334,0,1,0,0
335,0,1,0,0
336,0,1,0,0
337,0,1,0,0
338,0,0,0,1
339,0,1,0,0
340,0,0,1,0
341,0,0,0,1
342,0,0,1,0
343,0,1,0,0
344,0,0,0,1
345,0,0,0,1
346,0,1,0,0
347,0,0,1,0
348,0,0,0,1
349,0,1,0,0
350,0,0,1,0
351,0,0,0,1
352,0,0,1,0
353,0,0,0,1
354,0,1,0,0
355,0,0,0,1
356,0,1,0,0
357,0,0,1,0
358,0,0,1,0
359,0,1,0,0
360,0,0,1,0
361,0,1,0,0
362,0,0,0,1
363,0,0,1,0
364,0,1,0,0
365,0,1,0,0
366,0,1,0,0
367,0,0,0,1
368,0,1,0,0
369,0,0,0,1
370,0,0,0,1
371,0,1,0,0
372,0,0,0,1
373,0,0,0,1
374,0,0,0,1
375,0,0,0,1
376,0,0,0,1
377,0,0,1,0
378,0,1,0,0
379,0,0,0,1
380,0,0,1,0
381,0,0,0,1
382,0,1,0,0
383,0,1,0,0
384,0,1,0,0
385,0,1,0,0
386,0,0,0,1
387,0,1,0,0
388,0,0,0,1
389,0,0,0,1
390,0,0,0,1
391,0,1,0,0
392,0,1,0,0
393,0,0,0,1
394,0,1,0,0
395,0,0,1,0
396,0,0,0,1
397,0,0,0,1
398,0,0,0,1
399,0,0,0,1
